manufacturer,model,impedance_ohm,fs_hz,qts,qes,qms,vas_l,re_ohm,le_mh,sd_cm2,mms_g,mmd_g,cms_mm_per_n,rms_ns_per_m,bl_tm,xmax_mm,xmech_mm,vd_cm3,linear_travel_pp_mm,max_travel_pp_mm,xlin_mm,eta0_percent,ebp_hz,sensitivity_db,power_rms_w,power_handling_w,nominal_diameter_in,qa_as_printed,sensitivity_1w_1m_db,sensitivity_2v83_1m_db,le_frequency_hz,nominal_diameter_mm,overall_diameter_mm,overall_width_mm,overall_height_mm,overall_depth_mm,mounting_depth_mm,cutout_diameter_mm,bolt_circle_diameter_mm,mounting_hole_diameter_mm,mounting_hole_count,flange_thickness_mm,magnet_diameter_mm,magnet_depth_mm,voice_coil_diameter_mm,voice_coil_height_mm,voice_coil_former_height_mm,gap_height_mm,effective_diaphragm_diameter_mm,cone_dome_diameter_mm,ribbon_dimension_1_mm,ribbon_dimension_2_mm,overall_dimension_1_mm,overall_dimension_2_mm,overall_dimension_3_mm,cutout_dimension_1_mm,cutout_dimension_2_mm,tweeter_voice_coil_diameter_mm,tweeter_voice_coil_height_mm,tweeter_gap_height_mm,krm_microohm,erm,kxm_mh,exm,power_peak_w,frequency_min_hz,frequency_max_hz,crossover_frequency_hz,crossover_slope_db_per_oct,power_continuous_iec268_5_w,power_test_highpass_hz,power_test_highpass_slope_db_per_oct,net_weight_kg,magnet_weight_g,sensitivity_tolerance_db
Dayton Audio,RS75-8,8,185,1.07,1.35,5.12,0.1132673864,6.2,0.32,12,1.23,,0.94,,2.55,1.3,,,,,,,,80.5,15,,,,,80.5,,76.2,71.9,,,38.6,,54.1,64,,4,,,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RS75T-8,8,189,0.95,1.13,5.84,0.283168466,6.1,0.32,12,1,,0.69,,2.58,1.3,,,,,,,,,15,,3,,,,,76.2,72,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RSS210HF-4,4,29.6,0.57,0.69,3.25,23.7,3.1,0.7,219,78.4,,0.37,,8.12,9,,197.1,,,,,,86,280,280,,,,85.6,1000,205,213,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RSS210HO-4,4,29.6,0.4,0.46,3.33,18.6891187507,3.6,0.99,213.8,99.3,,0.29,,12,11,,235.2,,,,,,85.7,300,,,,,85.7,,203.2,213.1,,,126,,184.9,197,,6,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RSS210HO-8,8,29.6,0.39,0.45,2.78,18.6891187507,5.9,1.46,213.8,99.3,,0.29,,15.6,12,,256.6,,,,,,83.5,300,300,,,,83.5,1000,,213.1,,,126,,184.9,,,6,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RSS265HF-4,4,25.6,0.45,0.53,3.06,54,3.5,0.96,356.3,120,,0.32,,11.43,12.3,,438.3,,,,,,88,350,350,,,,87.8,1000,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RSS265HF-8,8,24.9,0.49,0.6,2.89,51.6,6.17,1.48,346.4,133.4,,0.31,,14.7,14.3,,495.3,,,,,,84,350,,,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RSS265HO-4,4,30.3,0.37,0.4,4.48,22.8,3.4,1.9,349.7,208.6,,0.13,,18.3,12.3,,,,,,,,84,600,,,,,,,255,265.938,,,,,234.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RSS265HO-44,4,27.6,0.45,0.5,4.42,34.83,1.6,0.77,352.3,161,,0.21,,9.39,13.25,,,,,,,,90.5,600,,,,,90.5,,254,266.7,,,127,,234.9,,,,,,,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RSS315HF-4,4,24.2,0.39,0.45,2.83,84.1,3.1,0.96,514.7,188,179.6,0.23,,13.99,14.3,,736,,,,,,90.3,400,400,,,,90.3,1000,305,314,,,146,,282,,,8,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RSS315HFA-8,8,22.2,0.45,0.54,2.5,97.2,6.5,1.56,506.7,194,,0.27,,18,14.3,,724.6,,,,,,86,400,400,,,,85.7,1000,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RSS315HO-4,4,26.2,0.31,0.33,3.63,53.5188400589,3.2,1.75,514.7,280.9,,0.15,,20,12.3,,,,,,,,90.5,700,,,,,90.5,,304.8,313.94,,,146.05,,281.94,,,8,,,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RSS315HO-44,4,21.5,0.37,0.41,370,61.3059728717,6.5,3.17,507.1,327.7,,0.17,,26.5,14,,,,,,,,84.6,700,,,,,84.6,,305,313.9,,,146,,281.9,,,8,,,,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RSS390HF-4,4,19.5,0.43,0.5,3.02,212,3,0.92,829.6,306,,0.22,,15,14,,,,,,,,91.2,500,500,,,,91.2,1000,380,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RSS390HO-4,4,21.5,0.32,0.35,3.69,168,3.2,1.79,829.6,319,,0.17,,19.8,12,,995.5,,,,,,93,800,800,,,,92.8,1000,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,RSS460HO-4,4,19.6,0.39,0.43,3.9,298,3.41,2.1,1164,425.9,,0.15,,20.4,12.75,,1484.1,,,,,,89,900,,,,,,,,461.5,,,,,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,SD215A-88,8,31,0.39,0.45,3.1,38.2,3.2,1.16,208.7,42.4,40.1,0.62,,7.7,6,,125.2,,,,,,85.9,80,,,,85.9,,,203.2,216,,,95,,180,206.4,,5,,,,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,SD270A-88,4,26.2,0.43,0.5,3.23,107.6,3.16,1.12,346.4,57.7,,0.64,,7.8,6,,,,,,,,87.8,80,,,,87.8,,,254,,,,109,,227,,,5,,,,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,SDA315A-88,4,24.2,0.33,0.37,3.54,151.7782977331,3.1,1.5,522.8,109.2,,0.4,,11.86,7,,366,,,,,,93.75,120,,,,,93.75,,304.8,313.9,,,130,,272,,,5,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,SIG180-4,4,40.5,0.38,0.41,5.19,23.22,3.7,0.47,143,19.2,,0.81,,6.6,5,,,,,,,,91,80,,,,,91,,165.1,,,,,,144.78,,,6,,,,31.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,SIG225-4,4,39.94,0.43,0.45,8.87,29.44952045568,3.89,0.29,226.9,36.93,,0.43,,8.95,6,,,,,,,,,100,,,,,,,203.2,224.8,,,,,190,,,6,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,SIG270-4,4,35,0.42,0.43,10.25,58.33,3.85,0.4,415.47,64,,0.32,,11.2,6.5,,,,,,,,92.8,120,,,,,92.8,,254,269,,,,,240.03,,,8,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,SS10-22,4,34,0.4,0.45,3.8,48.9031940644,4.4,1.6,344.5,180,,0.122,,19.5,21,,,,,,,,87.1,700,,,,,87.1,,254,266.7,,,180,,238.76,,,,,,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,SS12-22,4,27,0.35,0.39,3.47,49.2713130701,4.9,1.8,528,275,,0.125,,24.3,23,,1194,,,,,,88.1,900,,,,,88.1,,304.8,322.5,,,194.31,,285.75,,,,,,,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,SS15-22,4,27,0.38,0.44,3.27,97.9762892083,5,1.9,800,317,,0.11,,24.9,22,,1758,,,,,,90.6,1100,,,,,90.6,,381,388.62,,,233.68,,353,,,,,,,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,SS18-22,4,21,0.37,0.42,3.4,223.7030880768,5.3,2.1,1188,497,,0.112,,29.2,26,,3038,,,,,,90.8,1300,,,,,90.8,,,469.9,,,260.35,,419.1,,,,,,,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,SS8-22,4,38,0.45,0.5,4.37,9.7,4.4,1.6,200,101,,0.17,,14.6,17,,325,,,,,,84.9,500,,,,,84.9,,,214,,,,,,200,,8,,,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,TCP115-4,4,53.8,0.35,0.4,3.14,3.1,3.2,0.97,50.3,9.9,,0.88,,5.2,4,,20.1,,,,,,87,40,,,,,86.8,,,,,,,,95.758,,,4,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Audio,TCP115-8,8,59.2,0.43,0.54,2.3,2.52,7.8,1.9,50,10.16,,0.71,,7.4,4,,,,,,,,82,40,,,,,81.9,,,116.078,,,58.928,,95.758,107.95,,4,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynaudio,ESOTAR2,4,18.7,0.34,0.4,3,163,3.3,1.1,425,114,,0.64,4.4,11.1,29,,,,,,,,,,400,,,,,,,,,,218,,260,,,,,,,75,30,,,,,,,297,,,,,,,,,,,,,,,,,,,,,,
Dynaudio,ESOTAR2,4,49.6,0.44,0.47,6.2,10.5,3.4,0.33,120,20,,0.52,1,6.73,10.5,,,,,,,,,,,,,,,,,,,,72.2,,136,,,,,,,75,14,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,
Dynaudio,ESOTAR2,4,64,0.18,0.21,1.5,3.5,4,0.19,45,4.9,,1.2,1.3,6.2,5.25,,,,,,,,,,150,,,,,,,,,,46,,90,,,,,,,34,9.5,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,
Dynaudio,Esotec MW 152,4,70,0.47,0.63,1.9,4,3,0.24,87,14,,0.38,,5.4,7.5,,,,,,,,,,100,,,,,,,,,,67.3,,124.5,,,,,,,75,10.9,,,,,,,145.5,,,,,,,,,,,,,,,,,,,,,,
Dynaudio,Esotec MW 162 MW 162 Alu basket,4,55,0.45,0.57,2.2,9.8,3.1,0.22,120,17.4,,0.48,2.7,5.7,8.5,,,,,,,,,,120,,,,,,,,,,72,,67,,,,,,,75,10.9,,,,,,,175,77,,,,,,,,,,,,,,,,,,,,,
Dynaudio,Esotec MW 162 MW 162 GT,4,60,0.48,0.63,2.1,8.6,3,0.22,120,16.8,,0.42,3,5.5,8.5,,,,,,,,,,120,,,,,,,,,,63.5,,62,,,,,,,75,10.9,,,,,,,166,71,,,,,,,,,,,,,,,,,,,,,
Dynaudio,Esotec MW 172,4,45,0.51,0.65,2.3,27,3.2,0.27,180,21.4,,0.58,2.6,5.4,7.5,,,,,,,,,,150,,,,,,,,,,83.3,,77.9,,,,,,,75,14,,,,,,,200,88,,,,,,,,,,,,,,,,,,,,,
Dynaudio,Esotec MW 182,4,40,0.64,0.84,2.8,34,3.7,0.5,235,36.5,,0.43,3.3,6.4,13,,,,,,,,,,180,,,,,,,,,,80.9,,75,,,,,,,100,13,,,,,,,239,86,,,,,,,,,,,,,,,,,,,,,
Esoteric,E100HD MKII,8,46,0.44,0.61,1.63,19.6,5.76,0.1,79,5.3,,1.435,,3.8,4.6,,,,,,,,86.2,,75,,,,,,,,,,68.2,,114,,,,,,,,,,,,,,,149,,,,,,,,,,,,,,,,,,,,,,
Esoteric,E130,8,35,0.744,0.93,3.721,45.048,4.03,0.144,138.93,11.927,,1.661,,5.928,6.3,,,,,,,,83.44,,60,,,,,,,,,,79.5,,150.2,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,
Faitalpro,3FE25,16,110,0.82,1,4.85,1.132673864,12.3,0.1,33,2.2,,0.88,,4.5,1.83,,,,,,,,,20,,3,,,,,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faitalpro,5FE100,8,65,0.46,0.48,8.18,5.097032387,5.4,0.53,79.8,10.5,,0.57,,6.9,5.25,,,,,,,,,80,,5,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faitalpro,5FE120,8,65,0.47,0.51,7.35,4.813863921,5.4,0.41,79.8,11,,0.55,,6.9,5.25,,,,,,,,,80,,5,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faitalpro,6FE100,8,61,0.56,0.6,6,14.158423296,5.4,0.5,143,14,,0.48,,6.8,5.25,,,,,,,,,100,,6,,,,,152.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,FE108-Sol,8,70,0.34,0.38,3.28,5.36,6.6,0.035,50,2.9,,1.5,,4.95,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,FE88-SOL,8,105.5,0.45,0.51,3.91,2,7,0.06,37,2.2,,1.04,,4.47,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fostex,FF105WK,8,75,0.41,0.463,4.203,4.848,6.7,0.041,50,3.4,,1.346,,4.823,1.7,,,,,,0.42,,88,,30,,,,,,100,107,,,52.8,,93,,,,,,,20,,,,80,,,,107,,,,,,,,,,,,,,,,,,,,,,
Fostex,FF125WK,8,67,0.42,0.464,5.091,7.265,6.7,0.044,66,5,,1.153,,5.596,1.65,,,,,,0.451,,89,,50,,,,,,120,117,,,61.3,,104,,,,,,,25,,,,92,,,,120,,,,,,,,,,,,,,,,,,,,,,
Fostex,FF165WK,8,50,0.34,0.373,4.19,27.838,6.5,0.056,132,9.5,,1.068,,7.227,1.85,,,,,,0.908,,92,,90,,,,,,160,166,,,76.6,,146,,,,,,,35,,,,130,,,,166,,,,,,,,,,,,,,,,,,,,,,
Fostex,FF225WK,8,44,0.35,0.409,2.31,57.898,6,0.068,220,18.4,,0.826,,8.488,2.25,,,,,,0.995,,93,,100,,,,,,200,208,,,91.7,,185,,,,,,,50,,,,168,,,,208,,,,,,,,,,,,,,,,,,,,,,
Fostex,FF85WK,8,115,0.55,0.683,3.298,1.036,7.2,0.032,28,2,,0.909,,3.93,0.35,,,,,,0.246,,86.5,,15,,,,,,80,83,,,46.7,,73,,,,,,15,16,,,,60,,,,83,,,,,,,,,,,,,,,,,,,,,,
Fostex,FW208HS,8,32,0.4,0.416,12.927,42.69,6.5,0.427,206,37,,1005,,10.565,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-1038,8,33.7,1.1,1.5,4.4,90.330740628,7.2,0.6,355.4,43.7,,0.51,,6.8,2.5,,,,,,,,,130,,10,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-10PC-4,4,43.1,0.4,0.45,4.25,32.564373581,3.8,1.4,344.9,69.7,,0.2,,12.71,5,,,,,,,,,200,,10,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-10PC-8,8,47.89,0.47,0.53,4.85,31.148531251,7.23,1.86,344.9,57.76,,0.19,,15.47,5,,,,,,,,,140,,10,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-1244,4,29.7,0.68,0.86,3.3,119.497092618,3.6,0.6,525.9,93.2,,0.31,,8.48,3,,,,,,,,,150,,12,,,,,304.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-1248,8,33.3,1,1.3,3.3,103.639658527,7.1,0.6,525.9,88.2,,0.26,,10,3,,,,,,,,,150,,12,,,,,304.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-12PC-4,4,32.9,0.39,0.44,3.9,73.340632673,3.7,1.7,487.89,106.6,,0.22,,13.61,5,,,,,,,,,225,,12,,,,,304.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-12PC-8,8,33,0.49,0.56,3.83,85.233708242,7.1,2.1,494.02,93.1,,0.25,,15.7,5,,,,,,,,,225,,12,,,,,304.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-15PC-8,8,32.9,0.47,0.55,3.59,152.910971597,7.1,2.49,823.72,151.8,,0.15,,20.2,6,,,,,,,,,275,,15,,,,,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-204/4S,4,139.8,1.69,2.2,7.19,1.132673864,3.7,0.1,53.52,5.2,,0.24,,2.84,1.5,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-204/8S,8,136.9,1.56,2.02,6.82,1.132673864,7.3,0.2,53.52,4.9,,0.28,,3.9,1.5,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-205/4S,4,83.1,0.68,0.87,3.18,5.380200852,3.6,0.2,96.77,9.1,,0.4,,4.44,2,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-205/8S,8,86.1,0.82,1.1,3.18,5.097032387,7.1,0.4,96.77,9,,0.38,,5.62,2,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-206/4,4,58.9,0.61,0.73,3.84,13.308917898,3.7,0.4,136.35,14.4,,0.51,,5.19,3.5,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-206/8,8,64.6,0.75,0.75,3.39,11.043570171,7.1,0.5,136.35,14.2,,0.43,,6.5,2.5,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-208/4,4,51.5,0.7,0.85,4.11,22.93664574,3.7,0.4,205.9,24.9,,0.38,,5.93,3.5,,,,,,,,,100,,8,,,,,203.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-208/8,8,56.1,0.86,1.09,3.96,22.93664574,7.3,0.6,205.9,21,,0.38,,7.01,3.5,,,,,,,,,100,,8,,,,,203.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-210/4,4,41.8,1.07,1.32,5.54,64.279241764,3.8,0.4,344.9,37.7,,0.38,,5.31,3.5,,,,,,,,,110,,10,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-210/8,8,41,1.19,1.61,4.59,59.748546309,7.1,0.5,344.9,42.1,,0.36,,6.95,3.5,,,,,,,,,110,,10,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-212/4,4,35.8,1.2,1.5,6.07,166.503057961,3.6,0.5,519.47,45,,0.44,,4.94,3.5,,,,,,,,,120,,12,,,,,304.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-212/8,8,38.8,1.44,1.98,5.27,101.657479265,7,0.6,525.9,64.4,,0.26,,7.47,2.5,,,,,,,,,120,,12,,,,,304.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-215/40/8,8,30.53,1.09,1.38,5.15,261.081325578,7.15,0.84,823.4,99,,0.27,,9.93,3.5,,,,,,,,,150,,15,,,,,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-215/8,8,29.5,1.95,2.69,7.09,366.4199949,7.1,0.9,823.42,75.7,,0.38,,6.09,3.5,,,,,,,,,135,,15,,,,,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-4028/S,8,83.1,0.7,1,2.4,1.982179261,7.1,0.4,49.5,6,,0.61,,4.8,1.5,,,,,,,,,40,,4,,,,,101.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-5028/S,8,80.1,0.9,1.2,3.9,4.247526989,7.1,0.4,83.65,9,,0.43,,5.3,2,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-6024,4,53.7,0.57,0.71,3.05,11.893075569,3.6,0.4,136.35,19.1,,0.46,,5.72,2.5,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-6028,8,58.1,0.9,1.2,3.5,11.609907103,7.3,0.5,136.35,16,,0.47,,6.1,2.5,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-8024,4,44.1,0.73,0.93,3.42,30.582194319,3.7,0.4,218.2,28.5,,0.46,,5.61,2.5,,,,,,,,,100,,8,,,,,203.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-8028,8,36,0.92,1.21,3.9,43.607943752,7.2,0.5,218.2,26.9,,0.73,,6,2.5,,,,,,,,,100,,8,,,,,203.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-8PC-30-4,4,44.2,0.45,0.49,5.98,21.237634944,3.7,1.2,205.9,36.3,,0.36,,8.73,3.5,,,,,,,,,160,,8,,,,,203.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-8PC-30-8,8,55,0.56,0.62,5.89,14.441591762,7.24,0.98,205.9,34.26,,0.24,,11.78,4.5,,,,,,,,,160,,8,,,,,203.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-S525/4,4,72.9,0.88,1.15,3.79,4.247526989,3.6,0.3,82.29,10.5,,0.45,,3.9,2,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-S525/8,8,81.1,0.84,1.18,2.87,3.681190057,7,0.4,82.29,9.7,,0.4,,5.41,2,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-S650/4,4,55,0.71,0.87,3.79,15.574265626,3.7,0.3,139.7,14.6,,0.57,,4.61,2.5,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldwood,GW-S650/8,8,56.2,0.83,1.09,3.49,13.025749432,7,0.4,139.7,16.8,,0.48,,6.17,2.5,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,10PF-8,8,45,1.21,1.57,5.3,58.899040911,7.2,1.2,344.7,35.7,,0.35,,6.8,3,,,,,,,,,110,,10,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,10PR-8,8,40,0.97,1.32,3.68,57.200030116,7.3,1.1,345.1,45.7,,0.34,,8,3,,,,,,,,,80,,10,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,10SFPC-B,8,35.5,0.66,0.85,3,94.011930685,5.8,0.72,353.4,38.2,,0.53,,7.7,4.3,,,,,,,,,75,,10,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,12PF-8,8,38,1.93,2.76,6.49,112.41788097,7.4,1.2,524.3,61.8,,0.29,,6.3,3.5,,,,,,,,,120,,12,,,,,304.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,12SFPC-B,8,36,0.83,1.04,4.11,166.219889495,5.9,0.4,500,40.9,,0.47,,7.3,4.3,,,,,,,,,80,,12,,,,,304.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,12SFPC-W,8,31.2,0.7,0.89,3.41,154.326813926,5.8,0.71,487.9,57,,0.457,,8.6,4.3,,,,,,,,,80,,12,,,,,304.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,12SW-4HE,4,22,0.43,0.48,4.08,80.41984432128,3.9,3.5,507.3,237,,0.22,,16.2,12.5,,,,,,,,,,,,,,,,304.8,307.975,,,160.02,,279.4,,,8,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,15PF-8,8,30,1.43,1.91,5.75,223.986256543,7.3,1.3,825.6,119.3,,0.23,,9.3,4,,,,,,,,,150,,15,,,,,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,4PF-8,8,137,1.94,2.9,5.81,1.132673864,6.8,0.5,55.2,4.8,,0.28,,3.1,1.5,,,,,,,,,40,,4,,,,,101.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,5PF-8,8,162,2.04,3.09,5.96,1.41584233,7.3,0.5,75.2,6.1,,0.16,,3.8,2.5,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,6LPSW-4,4,48,1.07,1.35,5.26,7.6,3.7,1,103.8,35.8,,0.31,,5.39,4,,415.2,,,,,,,,,,,,,,165.1,165.2,,,64,,144.5,,4.2,8,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,6PF-8,8,73,0.79,0.95,4.77,10.760401705,7.1,1.1,140.3,12.3,,0.38,,6.5,3,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,6PR-8,8,69,0.87,1.16,3.51,10.477233239,7.1,1.1,140,14.2,,0.38,,6.1,3,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,8FR-8,8,45.1,0.56,0.63,4.83,36.99,7.3,1.19,215,22.16,,0.56,,8.52,3,,15,,,,,,,60,,8,,,,,203.2,203.2,,,,,,,,4,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grs,8PR-8,8,52,0.97,1.28,4.08,22.370308808,7.4,1.1,209.8,23.42,,0.36,,6.9,3,,,,,,,,,65,,8,,,,,203.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
